iter	Passed	Remaining
0	156	31210
1	171	16943
2	186	12277
3	202	9922
4	218	8515
5	232	7515
6	247	6823
7	261	6268
8	274	5816
9	286	5451
10	298	5132
11	310	4869
12	321	4629
13	332	4418
14	342	4228
15	354	4071
16	363	3912
17	372	3762
18	380	3628
19	389	3504
20	398	3396
21	406	3286
22	414	3191
23	422	3098
24	430	3010
25	437	2927
26	444	2850
27	451	2775
28	458	2702
29	465	2639
30	472	2574
31	478	2512
32	484	2450
33	489	2391
34	496	2339
35	502	2287
36	507	2236
37	513	2190
38	519	2143
39	524	2098
40	530	2058
41	536	2017
42	541	1977
43	547	1939
44	552	1901
45	556	1864
46	562	1830
47	567	1796
48	573	1767
49	579	1738
50	585	1709
51	590	1680
52	596	1653
53	601	1626
54	606	1599
55	612	1574
56	617	1549
57	623	1525
58	628	1502
59	634	1479
60	639	1456
61	644	1435
62	650	1413
63	655	1393
64	661	1374
65	666	1353
66	672	1334
67	677	1314
68	682	1295
69	687	1277
70	693	1260
71	698	1242
72	704	1225
73	709	1208
74	714	1191
75	720	1175
76	725	1159
77	731	1144
78	737	1129
79	742	1113
80	747	1098
81	752	1083
82	757	1068
83	762	1053
84	767	1038
85	772	1024
86	777	1010
87	782	995
88	788	983
89	793	969
90	798	955
91	803	943
92	808	930
93	813	917
94	818	904
95	822	891
96	827	878
97	831	865
98	836	853
99	841	841
100	846	829
101	851	817
102	856	806
103	860	794
104	865	783
105	870	772
106	874	760
107	879	748
108	884	738
109	889	727
110	893	716
111	898	706
112	903	695
113	908	685
114	912	674
115	918	664
116	922	654
117	927	644
118	932	634
119	937	624
120	941	614
121	948	606
122	954	597
123	959	587
124	965	579
125	970	569
126	975	560
127	980	551
128	985	542
129	990	533
130	995	524
131	999	515
132	1006	506
133	1011	498
134	1016	489
135	1020	480
136	1025	471
137	1030	462
138	1035	454
139	1039	445
140	1045	437
141	1050	429
142	1055	420
143	1061	412
144	1067	404
145	1071	396
146	1077	388
147	1082	380
148	1087	372
149	1093	364
150	1098	356
151	1103	348
152	1108	340
153	1113	332
154	1118	324
155	1124	317
156	1129	309
157	1134	301
158	1140	294
159	1145	286
160	1151	278
161	1157	271
162	1162	263
163	1167	256
164	1172	248
165	1177	241
166	1182	233
167	1187	226
168	1192	218
169	1197	211
170	1201	203
171	1206	196
172	1211	189
173	1216	181
174	1221	174
175	1226	167
176	1231	159
177	1236	152
178	1241	145
179	1245	138
180	1250	131
181	1255	124
182	1260	117
183	1265	110
184	1270	103
185	1275	96
186	1281	89
187	1286	82
188	1292	75
189	1297	68
190	1303	61
191	1308	54
192	1313	47
193	1318	40
194	1323	33
195	1328	27
196	1332	20
197	1338	13
198	1344	6
199	1348	0
